vhskala,glad,alder,aarsuddannelse,kvinde,barnhjemme,menneskeligforandring,religioes,godthelbred,klimafrygt
5,8,33,12,0,0,1,0,4,11
8,6,69,10,0,0,1,1,4,16
4,9,58,16,1,0,1,1,5,16
8,6,40,11,0,0,1,0,4,15
2,10,54,12,1,0,1,1,5,12
6,8,76,9,1,0,1,1,5,10
5,9,86,16,1,0,1,1,4,16
5,7,49,12,1,1,1,0,4,12
5,5,22,12,0,0,1,1,5,4
5,9,67,12,0,0,1,0,5,12
5,9,19,13,1,0,0,0,5,9
3,9,57,12,0,0,1,1,3,6
5,9,39,16,1,1,0,1,4,13
4,9,49,12,1,1,1,1,5,15
2,8,28,12,1,0,0,1,5,5
2,9,34,17,1,1,1,1,5,12
8,6,29,15,0,0,1,0,3,12
3,6,48,12,1,1,1,0,4,19
4,7,66,11,1,0,1,0,4,9
6,7,57,12,0,0,1,0,5,10
0,8,72,17,0,0,1,1,3,15
7,2,45,8,0,1,1,1,3,8
2,7,51,12,0,1,1,1,5,14
2,8,44,15,1,1,1,1,5,15
7,9,65,10,1,0,1,1,3,7
7,7,43,15,0,0,1,0,5,15
6,7,73,14,0,0,0,1,3,10
5,5,28,21,0,0,1,1,3,15
7,8,62,11,0,0,1,1,4,12
5,7,75,8,1,0,1,0,3,11
2,8,26,13,0,0,1,0,5,13
0,10,20,12,1,1,1,1,5,12
5,8,29,16,1,0,1,1,4,12
5,6,65,13,0,1,1,1,4,11
6,8,43,13,0,1,1,1,4,12
5,9,48,14,1,0,1,1,4,13
10,8,55,9,0,1,1,0,3,14
5,8,37,17,1,1,1,0,4,14
5,9,34,9,1,1,1,1,4,10
6,8,24,13,0,0,1,0,5,11
3,6,58,13,1,1,1,0,4,9
5,0,32,11,1,1,1,1,5,15
5,8,37,12,1,1,1,1,4,12
3,7,62,11,0,0,1,1,4,14
5,8,46,12,1,1,0,0,3,6
5,7,50,13,1,0,1,0,4,12
5,8,69,12,0,0,1,0,3,12
2,8,58,12,1,0,1,0,4,19
3,9,25,12,1,0,1,0,5,9
2,10,36,12,0,1,1,1,5,11
5,8,69,10,0,0,1,1,4,9
5,8,30,11,0,0,1,0,4,11
5,7,57,12,0,1,1,0,3,17
2,5,49,12,1,0,0,0,3,9
3,9,23,14,1,0,1,0,5,7
7,7,70,9,1,0,1,1,4,8
9,5,50,11,0,0,1,1,5,14
5,7,27,9,0,0,0,0,4,3
3,10,16,10,1,0,0,0,5,12
2,9,28,22,1,1,1,0,5,16
6,8,75,4,0,0,1,1,4,17
5,10,55,17,1,0,1,1,5,13
4,8,54,9,1,0,1,1,4,11
4,8,59,12,1,0,1,1,4,13
3,4,42,12,0,0,1,1,4,13
7,7,42,12,0,0,1,0,4,7
5,7,79,8,1,0,1,1,3,11
5,10,87,12,1,0,0,1,3,5
5,9,47,14,1,1,1,1,4,12
5,4,70,12,1,0,1,1,3,9
4,8,78,8,1,0,1,1,4,9
5,10,41,13,1,1,1,1,4,12
4,7,24,12,0,0,1,0,5,13
5,10,75,13,1,0,1,1,5,17
5,8,27,18,1,0,1,0,5,10
5,6,57,12,0,1,1,1,4,4
7,8,54,11,0,0,1,1,4,12
2,8,76,14,1,0,1,0,5,13
5,9,60,12,0,0,1,1,3,10
8,9,47,12,0,1,1,0,4,11
5,5,44,16,1,1,1,1,4,9
3,8,49,12,0,0,1,0,4,15
7,8,38,12,1,1,1,0,5,10
5,8,65,12,0,0,1,0,4,10
7,8,56,12,0,0,1,0,4,8
